quant,bits,group,rb,rc,rdt,layer_mode,ppl
hadamard,4,128,12,16,80,all,13.9456
hadamard,4,128,12,16,80,mid,12.8646
hadamard,4,128,12,16,40,all,15.4592
hadamard,4,128,12,16,40,mid,13.3963
hadamard,4,128,12,12,160,all,16.3842
hadamard,4,128,12,12,160,mid,13.7338
hadamard,4,128,12,12,120,all,16.9154
hadamard,4,128,12,12,120,mid,13.8016
hadamard,4,128,12,12,80,all,17.6780
hadamard,4,128,12,12,80,mid,14.0132
hadamard,4,128,12,12,40,all,20.0287
hadamard,4,128,12,12,40,mid,14.6421
hadamard,4,128,12,8,160,all,21.5626
hadamard,4,128,12,8,160,mid,14.9336
hadamard,4,128,12,8,120,all,22.1803
hadamard,4,128,12,8,120,mid,15.0277
hadamard,4,128,12,8,80,all,23.8239
hadamard,4,128,12,8,80,mid,15.3041
hadamard,4,128,12,8,40,all,27.3375
hadamard,4,128,12,8,40,mid,16.1385
hadamard,4,128,8,16,160,all,14.9355
hadamard,4,128,8,16,160,mid,13.4523
hadamard,4,128,8,16,120,all,15.3163
hadamard,4,128,8,16,120,mid,13.5320
hadamard,4,128,8,16,80,all,16.1219
hadamard,4,128,8,16,80,mid,13.7382
hadamard,4,128,8,16,40,all,18.2981
hadamard,4,128,8,16,40,mid,14.3641
hadamard,4,128,8,12,160,all,21.9366
hadamard,4,128,8,12,160,mid,15.0758
hadamard,4,128,8,12,120,all,22.7634
hadamard,4,128,8,12,120,mid,15.1762
hadamard,4,128,8,12,80,all,24.0317
hadamard,4,128,8,12,80,mid,15.4149
hadamard,4,128,8,12,40,all,27.8267
hadamard,4,128,8,12,40,mid,16.1754
hadamard,4,128,8,8,160,all,32.1831
hadamard,4,128,8,8,160,mid,15.9914
hadamard,4,128,8,8,120,all,33.0222
hadamard,4,128,8,8,120,mid,16.1076
hadamard,4,128,8,8,80,all,35.9839
hadamard,4,128,8,8,80,mid,16.3898
hadamard,4,128,8,8,40,all,41.5904
hadamard,4,128,8,8,40,mid,17.1776
fake,8,64,16,16,160,all,12.3911
fake,8,64,16,16,160,mid,12.3897
fake,8,64,16,16,120,all,12.6624
fake,8,64,16,16,120,mid,12.4555
fake,8,64,16,16,80,all,13.1520
fake,8,64,16,16,80,mid,12.5740
fake,8,64,16,16,40,all,14.5293
fake,8,64,16,16,40,mid,12.9755
fake,8,64,16,12,160,all,14.2330
fake,8,64,16,12,160,mid,13.2825
fake,8,64,16,12,120,all,14.6554
fake,8,64,16,12,120,mid,13.3886
fake,8,64,16,12,80,all,15.2886
fake,8,64,16,12,80,mid,13.5449
fake,8,64,16,12,40,all,17.2663
fake,8,64,16,12,40,mid,14.1440
fake,8,64,16,8,160,all,17.3245
fake,8,64,16,8,160,mid,14.4516
fake,8,64,16,8,120,all,17.9887
fake,8,64,16,8,120,mid,14.5791
fake,8,64,16,8,80,all,18.9666
fake,8,64,16,8,80,mid,14.8197
fake,8,64,16,8,40,all,21.7037
fake,8,64,16,8,40,mid,15.6655
fake,8,64,12,16,160,all,13.0744
fake,8,64,12,16,160,mid,12.6714
fake,8,64,12,16,120,all,13.3830
fake,8,64,12,16,120,mid,12.7363
fake,8,64,12,16,80,all,13.9142
fake,8,64,12,16,80,mid,12.8701
fake,8,64,12,16,40,all,15.4345
fake,8,64,12,16,40,mid,13.3972
fake,8,64,12,12,160,all,16.2084
fake,8,64,12,12,160,mid,13.6965
fake,8,64,12,12,120,all,16.7817
fake,8,64,12,12,120,mid,13.7887
fake,8,64,12,12,80,all,17.5076
fake,8,64,12,12,80,mid,13.9748
fake,8,64,12,12,40,all,19.9211
fake,8,64,12,12,40,mid,14.6467
fake,8,64,12,8,160,all,21.3366
fake,8,64,12,8,160,mid,14.8892
fake,8,64,12,8,120,all,22.3067
fake,8,64,12,8,120,mid,15.0203
fake,8,64,12,8,80,all,23.5504
fake,8,64,12,8,80,mid,15.2695
fake,8,64,12,8,40,all,27.2497
fake,8,64,12,8,40,mid,16.1215
fake,8,64,8,16,160,all,14.8295
fake,8,64,8,16,160,mid,13.4411
fake,8,64,8,16,120,all,15.2733
fake,8,64,8,16,120,mid,13.5548
fake,8,64,8,16,80,all,16.0735
fake,8,64,8,16,80,mid,13.7122
fake,8,64,8,16,40,all,18.3338
fake,8,64,8,16,40,mid,14.3854
fake,8,64,8,12,160,all,21.8055
fake,8,64,8,12,160,mid,15.0253
fake,8,64,8,12,120,all,22.6262
fake,8,64,8,12,120,mid,15.1614
fake,8,64,8,12,80,all,23.8813
fake,8,64,8,12,80,mid,15.3519
fake,8,64,8,12,40,all,27.7234
fake,8,64,8,12,40,mid,16.1710
fake,8,64,8,8,160,all,31.8006
fake,8,64,8,8,160,mid,15.9620
fake,8,64,8,8,120,all,33.2592
fake,8,64,8,8,120,mid,16.0865
fake,8,64,8,8,80,all,35.6536
