quant,bits,group,rb,rc,rdt,layer_mode,ppl
hadamard,8,64,4,12,20,mid,19.8764
hadamard,8,64,4,12,20,late,18.2220
hadamard,8,64,4,12,20,early,13.1539
hadamard,8,64,4,8,160,all,45.4553
hadamard,8,64,4,8,160,mid,18.3772
hadamard,8,64,4,8,160,late,15.1755
hadamard,8,64,4,8,160,early,13.1339
hadamard,8,64,4,8,120,all,47.1493
hadamard,8,64,4,8,120,mid,18.5262
hadamard,8,64,4,8,120,late,15.6174
hadamard,8,64,4,8,120,early,13.1357
hadamard,8,64,4,8,80,all,50.2966
hadamard,8,64,4,8,80,mid,18.7560
hadamard,8,64,4,8,80,late,16.1947
hadamard,8,64,4,8,80,early,13.1619
hadamard,8,64,4,8,40,all,58.1219
hadamard,8,64,4,8,40,mid,19.5206
hadamard,8,64,4,8,40,late,17.2183
hadamard,8,64,4,8,40,early,13.2444
hadamard,8,64,4,8,20,all,72.3821
hadamard,8,64,4,8,20,mid,20.7638
hadamard,8,64,4,8,20,late,18.7417
hadamard,8,64,4,8,20,early,13.3722
hadamard,8,64,4,4,160,all,56.2047
hadamard,8,64,4,4,160,mid,20.7302
hadamard,8,64,4,4,160,late,16.4656
hadamard,8,64,4,4,160,early,13.3763
hadamard,8,64,4,4,120,all,58.0711
hadamard,8,64,4,4,120,mid,20.8622
hadamard,8,64,4,4,120,late,16.8517
hadamard,8,64,4,4,120,early,13.3896
hadamard,8,64,4,4,80,all,62.3127
hadamard,8,64,4,4,80,mid,21.0936
hadamard,8,64,4,4,80,late,17.3943
hadamard,8,64,4,4,80,early,13.4217
hadamard,8,64,4,4,40,all,72.2961
hadamard,8,64,4,4,40,mid,21.8134
hadamard,8,64,4,4,40,late,18.5568
hadamard,8,64,4,4,40,early,13.5131
hadamard,8,64,4,4,20,all,88.1313
hadamard,8,64,4,4,20,mid,22.8888
hadamard,8,64,4,4,20,late,19.9281
hadamard,8,64,4,4,20,early,13.6742
hadamard,8,128,16,16,160,all,12.3905
hadamard,8,128,16,16,160,mid,12.3992
hadamard,8,128,16,16,160,late,12.3987
hadamard,8,128,16,16,160,early,12.3911
hadamard,8,128,16,16,120,all,12.6638
hadamard,8,128,16,16,120,mid,12.4555
hadamard,8,128,16,16,120,late,12.6014
hadamard,8,128,16,16,120,early,12.4014
hadamard,8,128,16,16,80,all,13.1689
hadamard,8,128,16,16,80,mid,12.5833
hadamard,8,128,16,16,80,late,12.9507
hadamard,8,128,16,16,80,early,12.3857
hadamard,8,128,16,16,40,all,14.5131
hadamard,8,128,16,16,40,mid,12.9813
hadamard,8,128,16,16,40,late,13.7422
hadamard,8,128,16,16,40,early,12.4158
hadamard,8,128,16,16,20,all,17.4168
hadamard,8,128,16,16,20,mid,14.1066
hadamard,8,128,16,16,20,late,14.9028
hadamard,8,128,16,16,20,early,12.4574
hadamard,8,128,16,12,160,all,14.2379
hadamard,8,128,16,12,160,mid,13.2821
hadamard,8,128,16,12,160,late,12.9040
hadamard,8,128,16,12,160,early,12.4555
hadamard,8,128,16,12,120,all,14.6518
hadamard,8,128,16,12,120,mid,13.3932
hadamard,8,128,16,12,120,late,13.1737
hadamard,8,128,16,12,120,early,12.4543
hadamard,8,128,16,12,80,all,15.2918
hadamard,8,128,16,12,80,mid,13.5603
hadamard,8,128,16,12,80,late,13.5400
hadamard,8,128,16,12,80,early,12.4714
hadamard,8,128,16,12,40,all,17.2463
hadamard,8,128,16,12,40,mid,14.1349
hadamard,8,128,16,12,40,late,14.3812
hadamard,8,128,16,12,40,early,12.4957
hadamard,8,128,16,12,20,all,21.1870
hadamard,8,128,16,12,20,mid,15.5598
hadamard,8,128,16,12,20,late,15.5526
hadamard,8,128,16,12,20,early,12.5670
hadamard,8,128,16,8,160,all,17.3129
hadamard,8,128,16,8,160,mid,14.4488
hadamard,8,128,16,8,160,late,13.3307
hadamard,8,128,16,8,160,early,12.6185
hadamard,8,128,16,8,120,all,17.9735
hadamard,8,128,16,8,120,mid,14.5655
hadamard,8,128,16,8,120,late,13.6270
hadamard,8,128,16,8,120,early,12.6241
hadamard,8,128,16,8,80,all,18.9825
hadamard,8,128,16,8,80,mid,14.8409
hadamard,8,128,16,8,80,late,14.0646
hadamard,8,128,16,8,80,early,12.6188
hadamard,8,128,16,8,40,all,21.7397
hadamard,8,128,16,8,40,mid,15.6712
hadamard,8,128,16,8,40,late,14.9345
hadamard,8,128,16,8,40,early,12.6630
hadamard,8,128,16,8,20,all,27.3335
hadamard,8,128,16,8,20,mid,17.0065
hadamard,8,128,16,8,20,late,16.3952
hadamard,8,128,16,8,20,early,12.7249
hadamard,8,128,16,4,160,all,29.8330
hadamard,8,128,16,4,160,mid,17.2582
hadamard,8,128,16,4,160,late,14.3724
hadamard,8,128,16,4,160,early,12.9612
hadamard,8,128,16,4,120,all,30.7978
hadamard,8,128,16,4,120,mid,17.4690
hadamard,8,128,16,4,120,late,14.7041
hadamard,8,128,16,4,120,early,12.9532
hadamard,8,128,16,4,80,all,32.7439
hadamard,8,128,16,4,80,mid,17.7997
hadamard,8,128,16,4,80,late,15.0981
hadamard,8,128,16,4,80,early,12.9901
hadamard,8,128,16,4,40,all,37.2525
hadamard,8,128,16,4,40,mid,18.6047
hadamard,8,128,16,4,40,late,16.0843
hadamard,8,128,16,4,40,early,13.0485
hadamard,8,128,16,4,20,all,44.7112
hadamard,8,128,16,4,20,mid,19.8668
hadamard,8,128,16,4,20,late,17.4351
hadamard,8,128,16,4,20,early,13.1221
hadamard,8,128,12,16,160,all,13.0749
hadamard,8,128,12,16,160,mid,12.6693
hadamard,8,128,12,16,160,late,12.6650
hadamard,8,128,12,16,160,early,12.4178
hadamard,8,128,12,16,120,all,13.3854
hadamard,8,128,12,16,120,mid,12.7280
hadamard,8,128,12,16,120,late,12.9013
hadamard,8,128,12,16,120,early,12.4305
hadamard,8,128,12,16,80,all,13.9190
hadamard,8,128,12,16,80,mid,12.8572
hadamard,8,128,12,16,80,late,13.2620
hadamard,8,128,12,16,80,early,12.4353
hadamard,8,128,12,16,40,all,15.4187
hadamard,8,128,12,16,40,mid,13.3968
hadamard,8,128,12,16,40,late,14.0902
hadamard,8,128,12,16,40,early,12.4819
hadamard,8,128,12,16,20,all,18.7468
hadamard,8,128,12,16,20,mid,14.6394
hadamard,8,128,12,16,20,late,15.3386
hadamard,8,128,12,16,20,early,12.5292
hadamard,8,128,12,12,160,all,16.1901
hadamard,8,128,12,12,160,mid,13.6894
hadamard,8,128,12,12,160,late,13.2615
hadamard,8,128,12,12,160,early,12.5814
hadamard,8,128,12,12,120,all,16.7806
hadamard,8,128,12,12,120,mid,13.7864
hadamard,8,128,12,12,120,late,13.5318
hadamard,8,128,12,12,120,early,12.6004
hadamard,8,128,12,12,80,all,17.5177
hadamard,8,128,12,12,80,mid,13.9889
hadamard,8,128,12,12,80,late,13.9120
hadamard,8,128,12,12,80,early,12.6089
hadamard,8,128,12,12,40,all,19.8989
hadamard,8,128,12,12,40,mid,14.6538
hadamard,8,128,12,12,40,late,14.7739
hadamard,8,128,12,12,40,early,12.6502
hadamard,8,128,12,12,20,all,24.7692
hadamard,8,128,12,12,20,mid,16.0919
hadamard,8,128,12,12,20,late,16.0009
hadamard,8,128,12,12,20,early,12.7195
hadamard,8,128,12,8,160,all,21.3113
hadamard,8,128,12,8,160,mid,14.8881
hadamard,8,128,12,8,160,late,13.5226
hadamard,8,128,12,8,160,early,12.7972
hadamard,8,128,12,8,120,all,22.2892
hadamard,8,128,12,8,120,mid,15.0349
hadamard,8,128,12,8,120,late,13.8605
hadamard,8,128,12,8,120,early,12.8184
hadamard,8,128,12,8,80,all,23.5603
hadamard,8,128,12,8,80,mid,15.2782
hadamard,8,128,12,8,80,late,14.2483
hadamard,8,128,12,8,80,early,12.8330
hadamard,8,128,12,8,40,all,27.2749
hadamard,8,128,12,8,40,mid,16.1390
hadamard,8,128,12,8,40,late,15.1500
hadamard,8,128,12,8,40,early,12.8843
hadamard,8,128,12,8,20,all,34.6887
hadamard,8,128,12,8,20,mid,17.5336
